date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,dailyTotal_7,dailyTotal_8,227300_Compiled_0.csv
2017-12-19,5.38,0.61,,,,,2.35,9.19,3.29,20.82
2017-12-20,23.160000000000004,,4.21,5.18,12.9,10.29,8.379999999999999,11.3,3.23,78.65
2017-12-21,56.62000000000001,2.54,13.86,19.48,34.45,21.94,20.800000000000004,27.49,14.81,211.99
2017-12-22,58.32,2.31,7.17,14.78,30.87,16.38,18.45,24.81,15.68,188.76999999999998
2017-12-23,47.66,3.55,8.93,12.73,24.270000000000003,13.31,25.33,28.79,14.5,179.07
2017-12-24,48.53,3.26,9.7,10.98,21.21,12.53,24.01,22.2,9.46,161.88000000000002
2017-12-25,34.71,3.88,11.07,9.11,12.28,7.82,19.99,32.74,14.06,145.66000000000003
2017-12-26,31.54,3.04,7.85,6.2200000000000015,11.23,6.72,17.310000000000002,24.79,11.87,120.57
2017-12-27,41.77,4.72,8.58,9.68,14.7,8.32,38.2,43.96000000000001,30.02,199.95000000000002
2017-12-28,31.47,3.06,8.01,7.479999999999999,12.51,6.06,24.17,26.46,12.22,131.44
2017-12-29,23.42,2.78,7.3,8.51,10.81,7.42,13.55,15.1,5.56,94.45
2017-12-30,34.33,2.23,6.6099999999999985,7.8,13.51,7.05,18.54,19.58,8.74,118.38999999999997
2017-12-31,23.18,1.96,4.04,6.55,10.93,6.67,11.12,13.93,4.66,83.03999999999999
2018-01-01,25.32,1.98,4.41,6.7200000000000015,9.65,5.67,14.54,21.25,8.61,98.15
2018-01-02,26.83,2.84,6.5600000000000005,6.2,10.41,6.19,9.79,17.48,4.32,90.62
2018-01-03,25.8,2.3,6.08,7.07,9.08,5.49,12.2,16.380000000000006,13.21,97.61000000000001
2018-01-04,26.63,,3.77,6.3,12.25,3.4,17.47,21.45,9.36,100.63000000000001
2018-01-05,30.76,,3.96,5.93,11.04,2.88,14.18,16.89,6.79,92.43
2018-01-06,23.380000000000006,2.2,3.57,6.8900000000000015,13.12,5.04,18.67,13.09,20.09,106.05000000000001
2018-01-07,18.96,0.55,2.5,3.75,7.01,2.6,16.46,15.34,7.66,74.83
2018-01-08,15.57,1.82,3.73,3.61,6.87,2.91,8.6,20.84,4.86,68.81
2018-01-09,12.12,,2.2,3.03,4.5600000000000005,1.58,8.680000000000001,4.43,4.63,41.230000000000004
2018-01-10,13.3,0.35,3.94,4.33,6.25,2.04,5.25,4.94,,40.400000000000006
2018-01-11,13.11,,3.56,3.91,5.32,3.38,6.799999999999999,6.46,7.72,50.25999999999999
2018-01-12,14.03,1.6,2.47,4.33,7.01,44.32,11.91,10.19,4.07,99.93
2018-01-13,12.71,,4.0,4.9700000000000015,6.9,2.5,7.039999999999999,9.26,3.94,51.31999999999999
2018-01-14,16.76,1.94,3.93,5.7799999999999985,8.15,3.19,6.619999999999999,17.509999999999998,,63.88
2018-01-15,14.88,,4.18,4.16,6.42,3.35,12.61,11.56,,57.16
2018-01-16,18.65,2.25,7.75,3.54,6.5,2.63,10.080000000000002,10.66,,62.06
2018-01-17,17.73,1.15,3.59,4.25,6.6400000000000015,3.51,5.14,7.42,4.42,53.85
2018-01-18,13.07,0.89,2.95,3.68,6.13,2.8,11.14,11.53,3.64,55.830000000000005
2018-01-19,18.47,1.08,1.59,4.1,6.21,2.18,6.3100000000000005,5.61,,45.55
2018-01-20,21.72,2.39,4.05,6.0600000000000005,10.61,3.89,13.77,17.7,9.96,90.15
2018-01-21,23.17,1.93,5.19,6.42,10.42,4.44,14.66,12.47,9.68,88.38
2018-01-22,16.23,1.06,4.74,4.42,7.54,3.08,9.19,17.479999999999997,6.95,70.69
2018-01-23,15.8,,2.81,4.04,6.2799999999999985,2.2,11.86,14.48,,57.47
2018-01-24,11.489999999999998,,2.6500000000000004,3.78,6.18,2.09,6.389999999999999,16.41,2.32,51.309999999999995
2018-01-25,12.63,0.69,3.81,3.37,4.8599999999999985,1.42,9.32,14.52,2.39,53.01
2018-01-26,12.29,1.68,2.7,3.42,5.6400000000000015,2.24,10.97,10.36,2.1,51.4
2018-01-27,10.73,0.72,2.2,3.43,3.97,62.41,10.19,10.8,,104.45
2018-01-28,13.16,0.45,5.1400000000000015,3.74,7.119999999999999,2.06,13.05,13.03,5.81,63.56
2018-01-29,9.75,,2.34,2.6,4.15,1.55,4.26,3.82,,28.47
2018-01-30,7.229999999999999,0.33,2.58,3.32,3.92,1.27,7.960000000000001,8.85,2.04,37.5
2018-01-31,8.09,0.93,2.21,2.65,3.67,1.19,6.38,5.15,,30.27
2018-02-01,7.96,,1.7000000000000002,1.96,2.93,0.97,5.78,6.89,,28.19
2018-02-02,10.28,,2.67,3.09,3.72,1.3,15.55,8.07,4.02,48.7
2018-02-03,7.31,,2.98,2.17,4.550000000000002,31.28,6.13,14.47,10.06,78.95000000000002
2018-02-04,9.11,,1.52,2.03,3.09,14.14,9.26,5.04,1.64,45.83
2018-02-05,5.39,,1.3,1.59,2.52,0.92,1.5299999999999998,4.8100000000000005,,18.06
