date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,1092140_Compiled_0.csv
2020-12-13,,,0.03,,,,0.03
2020-12-14,0.15,,,,,,0.15
2020-12-15,0.1,,0.06,,,,0.16
2020-12-18,,0.06,,,,,0.06
2020-12-19,0.9,,,,,,0.9
2020-12-20,,0.06,,,,,0.06
2020-12-22,,,0.09,,,,0.09
2020-12-23,0.11,,0.06,,,,0.16999999999999998
2020-12-24,2.64,0.09,0.09,,,,2.82
2020-12-25,,,,0.08,,,0.08
2020-12-26,0.09,1.26,0.12,,,,1.4700000000000002
2020-12-28,0.99,,1.23,,,,2.2199999999999998
2020-12-30,,0.27,0.06,,,,0.33
2020-12-31,,,,,0.06,,0.06
2021-01-01,,0.03,,,,,0.03
2021-01-03,0.12,,,,,,0.12
2021-01-04,0.11,,0.13,,,,0.24
2021-01-06,0.33,,,,,,0.33
2021-01-07,1.08,,,,0.06,,1.1400000000000001
2021-01-10,,,,0.03,,,0.03
2021-01-11,,0.06,,,,,0.06
2021-01-12,0.03,0.18,,,,,0.21
2021-01-14,,0.24,0.06,,,,0.3
2021-01-15,0.21,,0.09,,,,0.3
2021-01-16,0.15,0.15,,,,,0.3
2021-01-18,0.21,,0.06,,,,0.27
2021-01-19,,,,,0.08,,0.08
2021-01-20,0.42,0.09,,,,0.03,0.54
2021-01-22,,,0.15,,0.03,,0.18
2021-01-23,0.06,,0.27,,,,0.33
2021-01-25,0.09,,0.33,,,,0.42000000000000004
2021-01-26,,,,0.09,0.06,,0.15
2021-01-27,,,0.06,,,,0.06
2021-01-28,0.63,0.41,0.15,0.33,0.26,,1.78
2021-01-29,0.52,,0.06,0.18,,,0.76
2021-01-30,,,0.03,0.09,0.03,,0.15
2021-01-31,0.09,,,,,,0.09
2021-02-01,0.04,,,0.04,,,0.08
2021-02-02,,,0.06,,0.13,,0.19
2021-02-03,0.33,0.06,0.14,0.3,0.36,0.06,1.25
2021-02-04,0.48,,0.09,0.12,0.13,,0.82
2021-02-05,0.15,0.24,,0.16,,,0.55
2021-02-06,0.06,,0.12,,,,0.18
2021-02-08,0.09,,,,,,0.09
2021-02-09,,,0.12,0.06,,,0.18
2021-02-11,0.24,0.19,,,,,0.43
2021-02-12,,0.11,,0.05,0.09,,0.25
2021-02-13,,0.09,,,0.14,,0.23
2021-02-15,0.03,,,0.03,0.07,,0.13
2021-02-17,,0.06,0.14,0.2,0.18,,0.5800000000000001
2021-02-19,0.06,,,,,,0.06
2021-02-21,,0.03,0.07,,0.03,,0.13
2021-02-22,0.07,,,,,,0.07
2021-02-23,,,,0.06,,,0.06
2021-02-24,,,,,0.06,,0.06
2021-02-27,0.21,,,,,,0.21
2021-03-02,0.09,0.11,,0.08,0.03,,0.31000000000000005
2021-03-04,,,,0.06,,,0.06
2021-03-05,0.06,,0.05,0.03,0.05,,0.19
2021-03-06,0.06,,,,,,0.06
2021-03-07,0.08,0.1,,,0.05,,0.22999999999999998
2021-03-09,,,,0.07,,,0.07
2021-03-10,,,,,0.09,,0.09
2021-03-11,,,,0.06,,,0.06
2021-03-12,,0.08,,0.08,0.1,,0.26
2021-03-15,,0.1,,,,,0.1
2021-03-17,0.03,,,,,,0.03
2021-03-18,0.05,,0.06,0.06,0.18,,0.35
2021-03-19,0.06,,,,,,0.06
2021-03-21,,,0.06,,0.03,,0.09
2021-03-24,,,,0.11,,,0.11
2021-03-25,0.11,0.13,0.15,0.29,0.29000000000000004,,0.97
2021-03-26,,0.04,,,,,0.04
2021-03-28,0.19,0.14,,0.06,0.06,,0.45
2021-03-29,1.38,,,,,,1.38
2021-04-01,,,,0.09,0.2,,0.29000000000000004
2021-04-02,,,,0.1,0.24,,0.33999999999999997
2021-04-05,0.24,,,,,,0.24
2021-04-06,0.13,,,,,,0.13
2021-04-07,,0.06,,0.06,,,0.12
2021-04-08,0.93,0.3,0.3,,0.14,,1.67
