date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,253230_Compiled_0.csv
2019-10-26,0.5800000000000001,0.59,0.77,3.66,,5.6
2019-10-27,0.09,0.09,0.16,0.1,,0.43999999999999995
2019-10-28,0.35000000000000003,0.27,0.19,0.09,,0.9
2019-10-29,0.26,0.4900000000000001,0.45,2.31,,3.5100000000000002
2019-10-30,0.34,0.24,0.13,0.09,,0.8
2019-10-31,0.61,0.29000000000000004,0.6600000000000001,7.869999999999999,,9.43
2019-11-01,0.24,0.17,0.65,,,1.06
2019-11-02,0.49,0.26,0.11,,,0.86
2019-11-03,0.42,0.31999999999999995,0.53,1.1,,2.37
2019-11-04,0.09,0.38,0.48,2.49,,3.4400000000000004
2019-11-05,0.16,0.16999999999999998,1.4300000000000002,0.32,,2.08
2019-11-06,0.23,0.4,0.17,0.9,,1.7000000000000002
2019-11-07,0.28,0.41,1.3000000000000005,0.51,,2.5000000000000004
2019-11-08,0.45,0.7000000000000001,0.23,4.17,,5.55
2019-11-09,0.5800000000000001,0.32,0.16,7.74,,8.8
2019-11-10,0.32,0.8899999999999999,0.8600000000000001,1.84,,3.91
2019-11-11,0.24,0.24,0.24,0.19,,0.9099999999999999
2019-11-12,0.6300000000000001,0.6100000000000001,1.11,3.53,,5.880000000000001
2019-11-13,0.37,0.11,0.5,21.57,,22.55
2019-11-14,0.32,0.43,0.5,1.01,,2.26
2019-11-15,0.16999999999999998,,0.03,,,0.19999999999999998
2019-11-16,0.24,0.43,0.19,0.06,,0.9199999999999999
2019-11-17,0.47,0.4600000000000001,0.48,0.53,,1.9400000000000002
2019-11-18,0.15,0.17,0.38,,,0.7
2019-11-19,0.29000000000000004,0.37,0.4,,,1.06
2019-11-20,0.33,0.29000000000000004,0.24,0.19,,1.05
2019-11-21,0.09,0.06,0.23,0.2,,0.5800000000000001
2019-11-22,0.37,0.51,0.84,0.15,,1.8699999999999999
2019-11-23,0.4,0.22,0.43,1.7100000000000002,,2.7600000000000002
2019-11-24,0.6200000000000001,0.62,0.71,3.3200000000000003,,5.2700000000000005
2019-11-25,0.24,0.28,0.41,0.16,,1.0899999999999999
2019-11-26,0.36,0.23,0.39,,,0.98
2019-11-27,0.24,0.23,0.79,0.09,,1.35
2019-11-28,0.43,0.45,0.6599999999999999,5.24,,6.78
2019-11-29,0.66,0.33,0.48,4.23,,5.7
2019-11-30,0.35,0.68,0.30000000000000004,2.6700000000000004,,4.0
2019-12-01,0.5,0.28,0.26,,,1.04
2019-12-02,0.59,0.46,0.52,,,1.57
2019-12-03,0.33,0.4,0.42,0.26,,1.41
2019-12-04,0.4900000000000001,0.25,0.97,0.27,,1.98
2019-12-05,0.39,0.34,0.6400000000000001,11.54,,12.91
2019-12-06,0.32,0.32,0.19,1.06,,1.8900000000000001
2019-12-07,0.28,0.41,0.19,0.1,,0.9799999999999999
2019-12-08,0.5,0.5,0.45,2.14,,3.59
2019-12-09,0.03,0.15000000000000002,0.18,3.01,,3.3699999999999997
2019-12-10,0.28,0.28,0.31,0.49,,1.36
2019-12-11,0.15,0.28,0.36,,,0.79
2019-12-12,0.51,0.44,0.4400000000000001,1.24,,2.63
2019-12-13,0.32,0.47,0.38,6.8100000000000005,,7.98
2019-12-14,0.27,0.3200000000000001,0.7500000000000001,3.83,,5.17
2019-12-15,0.34,0.13,0.03,6.9,,7.4
2019-12-16,0.07,0.25,0.08,,,0.4
2019-12-17,0.35,0.46,0.5,1.1800000000000002,,2.49
2019-12-18,0.24,0.4,0.22,1.04,,1.9
2019-12-19,0.37,0.27,,1.05,,1.69
2019-12-20,1.01,1.4,1.55,9.090000000000002,,13.05
2019-12-21,0.32,0.15,0.22,6.2799999999999985,,6.969999999999999
2019-12-22,0.59,0.86,1.23,1.95,,4.63
2019-12-23,0.97,0.94,1.1,3.35,0.1,6.459999999999999
2019-12-24,0.73,0.73,1.21,6.06,,8.73
2019-12-25,0.3,0.78,0.8400000000000001,2.93,,4.8500000000000005
2019-12-26,0.72,0.38,0.6799999999999999,2.02,,3.8
2019-12-27,0.35,0.36,0.8000000000000002,6.5600000000000005,,8.07
2019-12-28,0.71,0.98,1.33,12.73,,15.75
2019-12-29,0.91,0.93,1.4600000000000002,1.07,,4.37
2019-12-30,0.8099999999999999,0.6500000000000001,1.21,10.65,,13.32
2019-12-31,0.61,0.54,1.3900000000000003,5.9,,8.440000000000001
2020-01-01,0.33,0.28,0.48,1.4700000000000002,,2.5600000000000005
2020-01-02,0.37,0.69,1.3000000000000005,12.090000000000002,,14.450000000000003
2020-01-03,0.53,0.42,0.46,28.83,,30.24
2020-01-04,0.56,0.55,1.13,6.1000000000000005,,8.34
2020-01-05,0.51,0.4,0.5800000000000001,16.94,,18.43
2020-01-06,2.3999999999999995,0.47,0.36,7.58,,10.809999999999999
2020-01-07,0.45,0.62,0.6300000000000001,0.13,,1.83
2020-01-08,0.45,0.26,0.8300000000000001,1.67,,3.21
2020-01-09,0.36,0.16,0.45,1.35,,2.3200000000000003
2020-01-10,0.2,0.28,0.6800000000000002,5.9,,7.0600000000000005
2020-01-11,0.51,0.33,0.99,0.09,,1.9200000000000002
2020-01-12,0.64,0.6100000000000001,0.9300000000000002,2.1,0.07,4.3500000000000005
2020-01-13,0.34,0.14,0.09,0.33,,0.9000000000000001
2020-01-14,0.27,0.31,0.8300000000000001,0.84,,2.25
