date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,264710_Compiled_0.csv
2019-07-08,3.48,,,,,,,,3.48
2019-07-09,321.98,,,,,,,,321.98
2019-07-11,2.76,,,,,,,,2.76
2019-07-12,3.72,,,,,,,,3.72
2019-07-13,1.83,,,,,,,,1.83
2019-07-14,3.96,,,,,,,,3.96
2019-07-15,5.85,,,,,,,,5.85
2019-07-16,2.28,,,,,,,,2.28
2019-07-20,497.25,,,,,,,,497.25
2019-07-22,0.96,,,,,,,,0.96
2019-07-23,1751.65,,,,,,,,1751.65
2019-07-24,5.58,,,,,,,,5.58
2019-07-25,178.64,,,,,,,,178.64
2019-07-26,24.19,,,,,,,,24.19
2019-07-28,39.14,,,,,,,,39.14
2019-07-29,10.59,,,,,,,,10.59
2019-07-30,17.16,,,,,,,,17.16
2019-07-31,14.77,,,,,,,,14.77
2019-08-01,3.0,,,,,,,,3.0
2019-08-02,21.42,,,,,,,,21.42
2019-08-03,1.71,,,,,,,,1.71
2019-08-04,5.76,,,9.78,,,,,15.54
2019-08-05,21.24,,,,,,,,21.24
2019-08-09,21.32,,,,,,,,21.32
2019-08-10,1.33,,,16.01,,,,,17.340000000000003
2019-08-13,226.8,,,,,,,,226.8
2019-08-16,2.88,,,,,,,,2.88
2019-08-17,8.79,,,,,,,,8.79
2019-08-18,15.54,,,,,,,,15.54
2019-08-19,2.4,,,,,,,,2.4
2019-08-20,1.6,,,,,,,,1.6
2019-08-21,1.5,,,,,,,,1.5
2019-08-22,4.17,,,,,,,,4.17
2019-08-23,140.78,,,,,,,,140.78
2019-08-24,3.84,,,,,,,,3.84
2019-08-25,12.35,,,,,,,,12.35
2019-08-26,4.98,,,,,,,,4.98
2019-08-27,1.38,,,4.9,,,,,6.28
2019-08-28,0.84,,,,,,,,0.84
2019-08-30,1.2,,,9.76,,,,,10.959999999999999
2019-08-31,8.34,,,19.48,,,,,27.82
2019-09-01,2.37,,,,,,,,2.37
2019-09-05,0.81,,,,,,,,0.81
2019-09-06,2.43,,,17.58,,,,,20.009999999999998
2019-09-07,2.22,,,,,,,,2.22
2019-09-08,121.05,,,,,,,,121.05
2019-09-11,5.18,,,,,,,,5.18
2019-09-12,6.93,,,,,,,,6.93
2019-09-13,0.66,,,,,,,,0.66
2019-09-18,28.1,,,,,,,,28.1
2019-09-19,0.87,,,,,,,,0.87
2019-09-24,0.54,,,,,,,,0.54
2019-09-27,0.78,,,,,,,,0.78
2019-10-01,2.43,,,,,,,,2.43
2019-10-05,5.31,,,,,,,,5.31
2019-10-07,0.69,,,,,,,,0.69
2019-10-10,16.41,,,,,,,,16.41
2019-10-11,0.99,,,10.6,,,,,11.59
2019-10-13,64.05,,,,,,,,64.05
2019-10-14,5.25,,,,,,,,5.25
2019-10-15,1.11,,,,11.64,,11.36,,24.11
2019-10-17,0.99,,,,,,,,0.99
2019-10-20,4.26,,,,,,,,4.26
2019-10-21,3.33,,,,,,,,3.33
2019-10-24,22.23,,,,,,,,22.23
2019-10-26,13.41,,,,,,,,13.41
2019-10-29,7.23,,,,,,,,7.23
2019-10-30,75.42,,,,,,,,75.42
2019-10-31,6.6,,,,,,,,6.6
2019-11-03,1.02,,,,,,,,1.02
2019-11-04,8.28,,,,,,,,8.28
2019-11-05,96.64,,,,,,,,96.64
2019-11-12,1.02,,16.66,,,,,,17.68
2019-11-13,4.62,,,,,,,,4.62
2019-11-14,17.13,,,,,,,,17.13
2019-11-16,1.74,,,16.98,,,,,18.72
2019-11-17,27.1,,,,,,,,27.1
2019-11-18,1.35,,,,,,,,1.35
2019-11-19,233.36,,,,,,,,233.36
2019-11-20,13.35,,22.08,,,,,,35.43
2019-11-21,21.15,,,,,,,,21.15
2019-12-03,2.46,,,,,,,,2.46
2019-12-05,4.06,,,,,,,,4.06
2019-12-06,1.11,,,,,,,,1.11
2019-12-07,2.31,,,,,,,,2.31
2019-12-10,29.25,,,,,,,,29.25
2019-12-11,93.44,,,,,,,,93.44
2019-12-12,49.79,,,,,,,,49.79
2019-12-15,3.99,,,29.53,,10.85,,,44.370000000000005
2019-12-17,1.77,,,,,,,,1.77
2019-12-18,2.43,21.28,,,,,,,23.71
2019-12-20,4.14,,,1.68,,,,,5.819999999999999
2019-12-21,8.7,,,,,,,,8.7
2019-12-22,8.52,,,,,,,,8.52
2019-12-23,8.1,,,,,,,,8.1
2019-12-25,8.46,,,,,,,,8.46
2019-12-26,170.69,,,,,,,,170.69
2019-12-29,4.89,,4.06,,,,,,8.95
2019-12-30,5.28,,,,,,,,5.28
2019-12-31,21.08,,,,,,,,21.08
2020-01-04,1.8,,,25.82,,,,,27.62
2020-01-10,1.14,,,,,,,,1.14
2020-01-14,4.83,,,,,,,,4.83
2020-01-15,1.92,,,,54.82,,,,56.74
2020-01-16,7.65,,,,,,,,7.65
2020-01-19,252.52,,,,,,,,252.52
2020-01-27,94.08,,,23.58,,,,,117.66
2020-02-04,5.46,,,,,,,,5.46
2020-02-05,104.68,,,,,,,,104.68
2020-02-06,3.51,,,,,,,,3.51
2020-02-07,357.19,,,,,,,,357.19
2020-02-08,512.47,,,,,,,,512.47
2020-02-09,145.18,,,,,,,,145.18
2020-02-10,79.42,,,,,,,,79.42
2020-02-11,173.8,,,,,,,,173.8
2020-02-12,926.59,,,,,,,,926.59
2020-02-13,138.38,,,,,,,,138.38
2020-02-14,159.72,,,,,,,,159.72
2020-02-15,140.32,,,,,,,,140.32
2020-02-16,19.47,,,,,,,,19.47
2020-02-18,30.43,,,,,,,,30.43
2020-02-19,93.05,,,,,,,,93.05
2020-02-20,777.5,,,,,,,,777.5
2020-02-21,234.35,,,,,,,,234.35
2020-02-22,15.06,,,,,,,,15.06
2020-02-23,7.74,,,,,,,,7.74
2020-02-24,14.28,,,,,,,,14.28
2020-02-25,5024.97,,,,,,,,5024.97
2020-02-26,27.42,,,,,,,,27.42
2020-02-27,4608.17,,,,,,,,4608.17
2020-02-28,307.41,,,,,,,,307.41
2020-02-29,155.44,,,,,,,,155.44
2020-03-01,326.37,,,,,,,,326.37
2020-03-02,107.8,,,,,,,,107.8
2020-03-03,113.18,,,,,,,,113.18
2020-03-04,83.29,,,,,,,,83.29
2020-03-05,54.0,,,26.44,,,,,80.44
2020-03-06,203.52,,,,,,,,203.52
2020-03-07,447.93,,,,,,,,447.93
2020-03-08,1365.61,,,,,,,,1365.61
2020-03-09,749.93,,,,,,,,749.93
